site;corrosion;lineage;quadrat;live_perna;live_mytilus;dead_perna;dead_mytilus;nb_broken;tot_mussels;mean_byssal;notes
Brenton-on-Sea;corroded;WEST;1;36;1;0;0;8;37;122,33;
Brenton-on-Sea;corroded;WEST;2;34;0;3;0;2;37;188,67;
Brenton-on-Sea;corroded;WEST;3;NA;NA;NA;NA;NA;0;NA;sample not stored properly (rotten)
Brenton-on-Sea;corroded;WEST;4;30;0;0;0;1;30;104,33;
Brenton-on-Sea;non_corroded;WEST;1;18;0;1;0;5;19;110,33;
Brenton-on-Sea;non_corroded;WEST;2;27;0;4;0;10;31;149,33;
Brenton-on-Sea;non_corroded;WEST;3;34;0;4;0;4;38;103;
Brenton-on-Sea;non_corroded;WEST;4;31;1;0;0;2;32;123,33;
Jeffreysbaai;corroded;WEST;1;24;0;3;0;3;27;209,33;
Jeffreysbaai;corroded;WEST;2;11;0;8;0;0;19;256,67;
Jeffreysbaai;corroded;WEST;3;22;0;2;0;2;24;173,67;
Jeffreysbaai;corroded;WEST;4;NA;NA;NA;NA;NA;0;NA;lost and not replaced
Jeffreysbaai;non_corroded;WEST;1;30;0;8;0;0;38;216;
Jeffreysbaai;non_corroded;WEST;2;14;0;5;0;9;19;155,67;
Jeffreysbaai;non_corroded;WEST;3;31;0;0;0;2;31;313;
Jeffreysbaai;non_corroded;WEST;4;NA;NA;NA;NA;NA;0;NA;
Mosselbaai;corroded;WEST;1;33;1;0;0;5;34;145,33;
Mosselbaai;corroded;WEST;2;23;0;0;0;3;23;215,33;
Mosselbaai;corroded;WEST;3;38;2;0;0;0;40;156;
Mosselbaai;corroded;WEST;4;37;1;0;0;1;38;172,33;
Mosselbaai;non_corroded;WEST;1;42;0;0;0;2;42;134,33;
Mosselbaai;non_corroded;WEST;2;26;0;0;0;1;26;265;
Mosselbaai;non_corroded;WEST;3;37;0;0;0;4;37;196,67;
Mosselbaai;non_corroded;WEST;4;44;0;0;0;3;44;209,67;
Old Woman's River;corroded;EAST;1;9;0;3;0;35;12;154,67;
Old Woman's River;corroded;EAST;2;28;0;3;0;7;31;156;
Old Woman's River;corroded;EAST;3;21;0;1;0;14;22;120;
Old Woman's River;corroded;EAST;4;17;0;3;0;20;20;94,33;
Old Woman's River;corroded;WEST;1;22;1;6;0;10;29;120;
Old Woman's River;corroded;WEST;2;21;3;6;0;1;30;121,33;
Old Woman's River;corroded;WEST;3;25;0;1;2;8;28;221;
Old Woman's River;corroded;WEST;4;18;1;4;0;19;23;162,67;
Old Woman's River;non_corroded;EAST;1;19;0;2;0;40;21;107;
Old Woman's River;non_corroded;EAST;2;21;0;1;0;39;22;202,67;
Old Woman's River;non_corroded;EAST;3;30;0;2;0;11;32;176,33;
Old Woman's River;non_corroded;EAST;4;30;0;3;0;10;33;118,33;
Old Woman's River;non_corroded;WEST;1;32;0;5;0;16;37;156,33;
Old Woman's River;non_corroded;WEST;2;25;0;2;0;15;27;172,33;
Old Woman's River;non_corroded;WEST;3;22;0;2;0;33;24;205,67;
Old Woman's River;non_corroded;WEST;4;43;0;3;0;5;46;169,67;
Port Edward;corroded;EAST;1;21;0;0;0;1;21;NA;byssal threads not counted
Port Edward;corroded;EAST;2;33;0;0;0;9;33;126,67;
Port Edward;corroded;EAST;3;6;0;0;0;0;6;205,67;
Port Edward;corroded;EAST;4;NA;NA;NA;NA;NA;0;NA;lost and not replaced
Port Edward;non_corroded;EAST;1;31;0;0;0;2;31;NA;byssal threads not counted
Port Edward;non_corroded;EAST;2;3;0;0;0;5;3;152,67;
Port Edward;non_corroded;EAST;3;35;0;0;0;3;35;133,67;
Port Edward;non_corroded;EAST;4;3;0;0;0;0;3;141;
