site;bioregion;corrosion;lineage;quadrat;higher_group;species;code_sp;abundance;biomass;pic;notes
Brenton-on-Sea;SOUTH;corroded;WEST;1;Actiniaria;Actiniaria;ACTINI;51;465,9;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Amphipoda;Talorchestia sp.;TALORC;25;23,9;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Asteroidea;Parvulastra exigua;PAREXI;1;67,7;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Bivalvia;Mytilus galloprovincialis;MYTGAL;3;183,6;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Bivalvia;Perna perna;PERPER;78;1193,9;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Caenogastropoda;Burnupena lagenaria;BURLAG;33;377;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Caenogastropoda;Nucella squamosa;NUCSQU;1;0,2;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Echinoidea;Parechinus angulosus;PARANG;2;28,8;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Errantia;Nereididae;NEREID;4;9,36;N;ID - to check
Brenton-on-Sea;SOUTH;corroded;WEST;1;Errantia;Pseudonereis podocirra;PSEPOD;14;407,2;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Errantia;Scoletoma tetraura;SCOTET;1;0,1;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Errantia;Syllidae;SYLLID;1;0,17;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Brachyura;Cyclograpsus punctatus;CYCPUN;1;14,6;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Holothuroidea;Roweia stephensoni;ROWSTE;1;441;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Insecta;Telmatogeton minor;TELMIN;2;0,3;N;ID - larvae
Brenton-on-Sea;SOUTH;corroded;WEST;1;Isopoda;Cirolana sp.;CIROLA;3;2,7;N;ID - to check
Brenton-on-Sea;SOUTH;corroded;WEST;1;Isopoda;Ischyromene huttoni;ISCHUT;36;1027,3;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Isopoda;Isopoda;ISOPOD;4;4;N;ID - to check
Brenton-on-Sea;SOUTH;corroded;WEST;1;Isopoda;Sphaeramene polytylotos;SPHPOL;14;333,9;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Patellogastropoda;Scutellastra granularis;SCUGRA;7;428,3;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Platyhelminthes;Notocomplana erythrotaenia;NOTERY;10;4,5;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Polyplacophora;Acanthochitona garnoti;ACAGAR;6;280,4;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Vetigastropoda;Oxystele antoni;OXYANT;28;92,4;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Vetigastropoda;Oxystele impervia;OXYIMP;3;6,5;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Vetigastropoda;Tricolia kochii;TRIKOC;1;0,15;N;
Brenton-on-Sea;SOUTH;corroded;WEST;1;Vetigastropoda;Tricolia neritina;TRINER;3;0,36;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Actiniaria;Actiniaria;ACTINI;20;380,3;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Amphipoda;Talorchestia sp.;TALORC;43;36,8;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Asteroidea;Parvulastra exigua;PAREXI;1;90,9;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Bivalvia;Mytilus galloprovincialis;MYTGAL;17;100,7;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Bivalvia;Perna perna;PERPER;115;828,5;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Caenogastropoda;Burnupena cincta;BURCIN;4;132,4;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Caenogastropoda;Burnupena lagenaria;BURLAG;35;345,5;N;
Brenton-on-Sea;SOUTH;corroded;WEST;2;Echinoidea;Parechinus angulosus;PARANG;1;38,5;N;
