date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;0;corroded;1;1;31;31;M1;
22/08/2023;0;corroded;1;2;31;31;M2;
22/08/2023;0;corroded;1;3;31,1;31,1;M3;
22/08/2023;0;corroded;1;4;31,3;31,3;M4;
22/08/2023;0;corroded;1;5;31,9;31,9;M5;
22/08/2023;0;non corroded;1;1;30,8;30,8;M1;
22/08/2023;0;non corroded;1;2;30,2;30,2;M2;
22/08/2023;0;non corroded;1;3;31,2;31,2;M3;
22/08/2023;0;non corroded;1;4;31,6;31,6;M4;
22/08/2023;0;non corroded;1;5;31,1;31,1;M5;
22/08/2023;5;corroded;1;1;38;38;M1;
22/08/2023;5;corroded;1;2;38,6;38,6;M2;
22/08/2023;5;corroded;1;3;39,2;39,2;M3;
22/08/2023;5;corroded;1;4;38,9;38,9;M4;
22/08/2023;5;corroded;1;5;38,7;38,7;M5;
22/08/2023;5;corroded;2;1;38,7;38,7;M1;
22/08/2023;5;corroded;2;2;38,3;38,3;M2;
22/08/2023;5;corroded;2;3;38,6;38,6;M3;
22/08/2023;5;corroded;2;4;37,3;37,3;M4;
22/08/2023;5;corroded;2;5;38,5;38,5;M5;
22/08/2023;5;corroded;3;1;37,4;37,4;M1;blurry picture
22/08/2023;5;corroded;3;2;38,1;38,1;M2;blurry picture
22/08/2023;5;corroded;3;3;38,1;38,1;M3;blurry picture
22/08/2023;5;corroded;3;4;38,8;38,8;M4;blurry picture
22/08/2023;5;corroded;3;5;38,2;38,2;M5;blurry picture
22/08/2023;5;non corroded;1;1;40,3;40,3;M1;
22/08/2023;5;non corroded;1;2;39,3;39,3;M2;
22/08/2023;5;non corroded;1;3;38,3;38,3;M3;
22/08/2023;5;non corroded;1;4;38,7;38,7;M4;
22/08/2023;5;non corroded;1;5;38,3;38,3;M5;
22/08/2023;5;non corroded;2;1;40,3;40,3;M1;
22/08/2023;5;non corroded;2;2;39,1;39,1;M2;
22/08/2023;5;non corroded;2;3;41;41;M3;
22/08/2023;5;non corroded;2;4;39,9;39,9;M4;
22/08/2023;5;non corroded;2;5;39,4;39,4;M5;
22/08/2023;5;non corroded;3;1;38;38;M1;
22/08/2023;5;non corroded;3;2;40,8;40,8;M2;
22/08/2023;5;non corroded;3;3;39,3;39,3;M3;
22/08/2023;5;non corroded;3;4;39,9;39,9;M4;
22/08/2023;5;non corroded;3;5;39,7;39,7;M5;
22/08/2023;10;corroded;1;1;34,1;34,1;M1;wind gust
22/08/2023;10;corroded;1;2;33,5;33,5;M2;wind gust
22/08/2023;10;corroded;1;3;34,1;34,1;M3;wind gust
22/08/2023;10;corroded;1;4;32,9;32,9;M4;wind gust
22/08/2023;10;corroded;1;5;34;34;M5;wind gust
22/08/2023;10;non corroded;1;1;34;34;M1;wind gust
22/08/2023;10;non corroded;1;2;37,1;37,1;M2;wind gust
22/08/2023;10;non corroded;1;3;34,4;34,4;M3;wind gust
22/08/2023;10;non corroded;1;4;34,2;34,2;M4;wind gust
22/08/2023;10;non corroded;1;5;36,9;36,9;M5;wind gust
22/08/2023;10;non corroded;2;1;37,3;37,3;M1;
22/08/2023;10;non corroded;2;2;38,3;38,3;M2;
22/08/2023;10;non corroded;2;3;36,6;36,6;M3;
22/08/2023;10;non corroded;2;4;36,4;36,4;M4;
22/08/2023;10;non corroded;2;5;37,8;37,8;M5;
22/08/2023;15;corroded;1;1;40,4;40,4;M1;
22/08/2023;15;corroded;1;2;40,8;40,8;M2;
22/08/2023;15;corroded;1;3;40,5;40,5;M3;
22/08/2023;15;corroded;1;4;38,7;38,7;M4;
22/08/2023;15;corroded;1;5;40,3;40,3;M5;
22/08/2023;15;corroded;2;1;38,7;38,7;M1;blurry picture
22/08/2023;15;corroded;2;2;39,5;39,5;M2;blurry picture
22/08/2023;15;corroded;2;3;39,7;39,7;M3;blurry picture
22/08/2023;15;corroded;2;4;38,7;38,7;M4;blurry picture
22/08/2023;15;corroded;2;5;40,8;40,8;M5;blurry picture
22/08/2023;15;corroded;3;1;39,8;39,8;M1;blurry picture
22/08/2023;15;corroded;3;2;40,4;40,4;M2;blurry picture
22/08/2023;15;corroded;3;3;40,3;40,3;M3;blurry picture
22/08/2023;15;corroded;3;4;40,4;40,4;M4;blurry picture
22/08/2023;15;corroded;3;5;39,7;39,7;M5;blurry picture
22/08/2023;15;non corroded;1;1;69,9;39,9;M1;harsh increase in temperature
22/08/2023;15;non corroded;1;2;69,6;39,6;M2;harsh increase in temperature
